hora_do_dia,media_passos
18,599.16997792494567
19,583.39072847682121
17,550.23289183222914
12,548.642082429501
14,540.51357220412513
13,537.69815418023916
16,496.84564498346236
10,481.66523143164704
11,456.8867313915863
9,433.30182599355521
8,427.544575725027
15,406.31912568305972
20,353.90507726269306
21,308.1381215469612
7,306.04940923737962
22,237.98783185840719
6,178.5080558539205
23,122.13289036544836
5,43.869098712446394
0,42.188436830835158
1,23.102893890675254
2,17.110396570203644
4,12.699570815450645
3,6.4265809217577727